frame_num,timestamp (sec),track_2_right_ankle.x,track_2_right_ankle.y,track_2_right_ankle.z,track_2_right_knee.x,track_2_right_knee.y,track_2_right_knee.z,track_2_right_hip.x,track_2_right_hip.y,track_2_right_hip.z,track_2_right_wrist.x,track_2_right_wrist.y,track_2_right_wrist.z,track_2_right_elbow.x,track_2_right_elbow.y,track_2_right_elbow.z,track_2_right_shoulder.x,track_2_right_shoulder.y,track_2_right_shoulder.z,track_2_left_ankle.x,track_2_left_ankle.y,track_2_left_ankle.z,track_2_left_knee.x,track_2_left_knee.y,track_2_left_knee.z,track_2_left_hip.x,track_2_left_hip.y,track_2_left_hip.z,track_2_left_wrist.x,track_2_left_wrist.y,track_2_left_wrist.z,track_2_left_elbow.x,track_2_left_elbow.y,track_2_left_elbow.z,track_2_left_shoulder.x,track_2_left_shoulder.y,track_2_left_shoulder.z,track_2_head_top.x,track_2_head_top.y,track_2_head_top.z,track_2_head.x,track_2_head.y,track_2_head.z,track_2_neck.x,track_2_neck.y,track_2_neck.z,track_2_spine.x,track_2_spine.y,track_2_spine.z,track_2_pelvis.x,track_2_pelvis.y,track_2_pelvis.z,track_2_right_toe_base.x,track_2_right_toe_base.y,track_2_right_toe_base.z,track_2_right_heel.x,track_2_right_heel.y,track_2_right_heel.z,track_2_left_toe_base.x,track_2_left_toe_base.y,track_2_left_toe_base.z,track_2_left_heel.x,track_2_left_heel.y,track_2_left_heel.z
20,0.4,-1159.4327,1200.8206,6562.931,-1031.8958,816.0289,6609.981,-1092.7892,394.9646,6609.2446,-950.7667,190.56364,6621.8643,-1081.3396,164.55652,6442.282,-1078.036,-100.35948,6534.1,-1219.0704,1200.6293,6701.698,-1183.0167,810.52716,6736.2085,-1157.3395,392.76862,6758.968,-1027.1088,182.8703,6849.574,-1213.2612,144.10086,6908.458,-1166.6866,-117.36671,6842.7437,-1053.4115,-429.8685,6680.1167,-1066.2408,-285.34512,6688.8643,-1100.7393,-176.33455,6684.564,-1142.0818,156.67339,6683.037,-1145.3511,316.36026,6680.4004,-1042.6931,1279.462,6542.933,-1194.2186,1263.7837,6561.079,-1096.8855,1270.7358,6754.972,-1240.1853,1263.4417,6685.5986
21,0.42,-1157.6055,1198.6721,6564.817,-1027.0911,815.779,6610.5933,-1092.447,394.47043,6609.5713,-947.4017,191.02289,6623.124,-1078.7274,163.50806,6444.552,-1076.4902,-100.7353,6535.7603,-1219.0588,1200.7921,6702.2847,-1182.7832,810.63574,6736.584,-1156.8169,392.71753,6758.61,-1021.5312,183.33177,6845.4814,-1209.8945,143.0722,6908.6646,-1163.1809,-117.55787,6843.143,-1050.7925,-429.3862,6680.3804,-1063.6344,-285.10977,6689.5005,-1098.2643,-176.15689,6685.355,-1140.9982,156.38101,6683.817,-1144.9835,315.93698,6680.5493,-1041.5602,1278.7058,6545.6943,-1193.2926,1261.054,6562.1245,-1096.0609,1270.8943,6755.0503,-1240.6938,1263.3667,6686.046
22,0.44,-1156.5082,1195.7225,6567.4785,-1020.2603,815.1638,6611.3525,-1092.4193,393.83237,6609.6235,-945.7048,191.67084,6623.1245,-1075.8009,161.79123,6447.356,-1075.0062,-101.09462,6537.4077,-1218.6769,1201.1943,6702.8867,-1182.338,810.6149,6736.787,-1155.8087,392.39893,6758.5234,-1015.56256,183.6604,6840.6323,-1205.1534,140.40927,6909.335,-1158.7747,-117.55958,6843.488,-1048.4856,-428.83768,6680.5874,-1060.7957,-284.8619,6690.1934,-1095.4923,-175.98683,6686.245,-1139.8206,155.88069,6684.4697,-1144.3624,315.4375,6680.725,-1041.2473,1277.635,6550.1997,-1192.8058,1257.7319,6563.926,-1095.9022,1271.0729,6755.2812,-1240.351,1263.7697,6686.452
23,0.46,-1154.7203,1192.4038,6570.952,-1011.4823,814.126,6612.1973,-1091.9625,393.68817,6609.264,-944.19135,192.02455,6622.856,-1073.4412,161.15585,6449.3706,-1072.7565,-101.26551,6538.432,-1218.6659,1201.4701,6703.238,-1181.7532,810.3767,6736.991,-1154.5155,392.27118,6758.6045,-1011.61536,184.18855,6838.2827,-1201.1339,138.39308,6910.215,-1154.9282,-117.45585,6843.5093,-1046.0111,-428.16388,6681.1494,-1057.8306,-284.52725,6690.9385,-1092.5875,-175.82538,6686.9697,-1137.8524,155.65854,6684.6387,-1142.8969,315.4619,6680.635,-1040.5775,1275.9286,6555.1797,-1191.3057,1254.2635,6567.5723,-1097.8433,1271.1205,6755.467,-1239.8519,1264.3119,6686.8228
24,0.48,-1150.4556,1189.1685,6574.9478,-1002.01636,812.84796,6612.7954,-1090.8809,394.51657,6608.4854,-940.9107,191.35112,6623.842,-1071.5317,160.73938,6449.501,-1069.5027,-100.93623,6538.2783,-1219.773,1201.3535,6703.1006,-1181.1426,809.9479,6737.2036,-1153.2133,393.07483,6758.4795,-1009.0859,184.19534,6839.943,-1198.9489,138.646,6911.2993,-1152.2014,-117.25679,6843.329,-1042.9381,-427.4914,6681.885,-1054.8251,-284.0366,6691.5103,-1089.7452,-175.56424,6687.2524,-1135.0822,156.19743,6684.073,-1140.6881,316.51727,6679.9873,-1037.4563,1273.7062,6559.7427,-1187.3049,1250.8961,6572.26,-1101.8691,1270.973,6755.4697,-1240.351,1264.5503,6687.0874
25,0.5,-1143.5033,1186.2463,6579.0913,-993.06256,811.5886,6612.8643,-1089.4929,395.7769,6607.704,-936.86035,190.05872,6625.66,-1070.3666,160.50385,6447.577,-1066.1007,-100.02839,6537.064,-1221.6191,1200.8984,6702.601,-1180.6852,809.51855,6737.1924,-1151.8556,394.5432,6758.1377,-1005.90015,185.10445,6843.872,-1197.269,140.56935,6912.8037,-1149.5684,-116.85257,6843.365,-1039.3035,-427.00995,6682.157,-1051.6743,-283.4205,6691.6274,-1086.883,-175.12086,6687.1475,-1132.1174,157.14215,6683.12,-1138.3237,317.99597,6679.1406,-1030.9248,1271.573,6564.335,-1180.8146,1247.7004,6577.1406,-1105.8832,1270.711,6755.288,-1241.9445,1264.3066,6687.269
26,0.52,-1135.157,1183.8628,6583.291,-984.78375,810.4918,6612.3438,-1088.1572,396.4206,6607.501,-934.63055,189.74747,6625.999,-1069.81,161.30765,6445.181,-1063.5883,-98.995926,6535.672,-1222.9248,1200.4088,6702.2764,-1180.898,809.33594,6736.6406,-1150.2113,395.53036,6758.0386,-1001.29297,186.37582,6846.4043,-1193.7983,142.03052,6914.6094,-1145.6145,-116.23012,6843.8975,-1035.4784,-426.7726,6681.6685,-1048.1216,-282.83966,6691.2686,-1083.6616,-174.56908,6687.0034,-1129.4675,157.63489,6682.6025,-1136.2445,318.6758,6678.924,-1021.75256,1270.1677,6569.9883,-1173.0286,1245.0414,6582.0107,-1107.5553,1270.5607,6755.1284,-1243.3354,1263.9352,6687.621
27,0.54,-1126.6138,1182.55,6587.719,-976.6169,809.6243,6611.4614,-1086.8903,396.20514,6607.8657,-933.6334,191.55666,6622.694,-1068.8698,162.26756,6444.518,-1061.9869,-98.459694,6534.971,-1222.8302,1200.2957,6702.5293,-1182.1439,809.51495,6735.425,-1148.0979,395.5541,6758.464,-994.9861,186.77345,6844.394,-1187.7233,141.81487,6916.0503,-1139.9215,-115.615906,6844.868,-1031.7339,-426.74722,6680.763,-1044.0449,-282.49673,6690.7397,-1079.8267,-174.10486,6687.1216,-1127.0243,157.46945,6682.9863,-1134.2728,318.29166,6679.6494,-1011.1769,1269.84,6576.7563,-1164.7767,1243.7731,6587.1,-1106.4858,1270.6542,6755.299,-1243.195,1264.1874,6688.3525
28,0.56,-1118.0414,1182.832,6592.3135,-968.2921,808.93677,6610.7144,-1085.3695,395.83536,6608.2095,-934.3914,193.95242,6617.785,-1067.7535,163.1289,6445.3438,-1060.3854,-98.48586,6535.06,-1221.6454,1200.8134,6703.155,-1183.748,809.8003,6733.8354,-1145.4214,395.3069,6759.045,-987.4954,187.77002,6838.4756,-1179.9625,140.59778,6916.547,-1133.0162,-115.29152,6846.0005,-1028.002,-426.89532,6679.9404,-1039.5968,-282.44684,6690.3677,-1075.4155,-173.84302,6687.5083,-1124.1954,157.27753,6683.94,-1131.809,317.756,6680.7437,-999.64056,1270.5745,6583.508,-1155.9388,1244.517,6592.236,-1104.0859,1271.1598,6755.9614,-1241.5927,1265.4784,6689.3193
29,0.58,-1108.9432,1184.4725,6596.427,-960.3887,808.19653,6610.3804,-1083.3052,395.82376,6608.2324,-933.9974,196.07182,6613.218,-1065.2233,164.79964,6447.2246,-1058.0024,-98.498024,6535.3613,-1220.2432,1201.7849,6703.563,-1184.2804,809.7347,6732.4233,-1142.1709,395.46524,6759.1377,-982.2813,189.00414,6833.1606,-1171.6074,140.00546,6916.529,-1125.3962,-115.29392,6846.964,-1023.9634,-427.05194,6679.342,-1034.9746,-282.47217,6690.1396,-1070.5839,-173.654,6687.8716,-1120.4971,157.53865,6684.8228,-1128.5654,317.76465,6681.4717,-986.73926,1271.918,6589.4204,-1146.0886,1246.7097,6596.576,-1101.7578,1271.9199,6756.943,-1239.76,1267.284,6690.0825
